subscribers;video views;uploads;Country;Category;video_views_for_the_last_30_days;highest_monthly_earnings;Pay well
21900000;5918314128;946;United States;People;234222000;936900;1
21900000;15552070846;816;United States;Comedy;687028000;2700000;1
21900000;20657571751;116;Mexico;Music;4719;19;0
21800000;4469711607;257;United States;People;197953000;791800;1
21800000;5614621131;10162;United States;Entertainment;45812000;183200;0
21800000;11288359365;164;United Kingdom;Music;128047000;512200;0
21800000;12140232004;266;United Kingdom;Music;51134000;204500;0
21800000;19329351143;135;nan;Music;10571;42;0
21800000;7780934187;1;Global;People;408;0;0
21700000;9392093496;1390;nan;People;265336000;1100000;1
21700000;8507818877;15126;United Arab Emirates;People;1598000000;6400000;1
21600000;9597894786;2942;Brazil;Entertainment;193174000;772700;1
21600000;5863377051;219;India;Howto;194604000;778400;1
21600000;9346383505;228;United States;Entertainment;63919000;255700;0
21500000;5890180734;51;United States;Music;113542000;454200;0
21500000;15013096899;158;Mexico;Entertainment;15459;62;0
21500000;22065582014;6;nan;Music;3;0;0
21500000;8409641722;17;Chile;People;49;0;0
21400000;1573058816;0;Germany;Entertainment;0;0;0
21400000;6264261757;114;India;Music;160690000;642800;1
21300000;6269945014;733;United States;People;160227000;640900;1
21300000;10644857969;78;United States;Music;103171000;412700;0
21300000;12761253839;951;India;People;729409000;2900000;1
21300000;5141834668;1608;United States;Entertainment;68350000;273400;0
21300000;10047736580;669;India;Entertainment;236293000;945200;1
21300000;12895427184;20225;India;Entertainment;561020000;2200000;1
21200000;2073073070;1;Global;People;0;0;0
21200000;11364908616;31989;Philippines;News;142317000;569300;0
21100000;5783557209;4728;United States;Howto;24691000;98800;0
21100000;4526271677;2325;Indonesia;Entertainment;26974000;107900;0
21000000;4380564906;403;United States;Entertainment;2476000;9900;0
21000000;7762905663;2883;Brazil;Entertainment;118410000;473600;0
21000000;10631638628;420;United States;Entertainment;80062000;320200;0
21000000;9789121606;498;United States;Entertainment;133362000;533400;0
20900000;1693149479;896;India;Education;28588000;114400;0
20900000;3828000587;6262;Brazil;Entertainment;52330000;209300;0
20900000;4927879069;982;United States;Animals;2989000;0;0
20900000;11058049885;9850;United States;People;383700000;1500000;1
20900000;17324976752;6;United States;Music;99;0;0
20800000;1870608170;288;Brazil;Comedy;23897000;95600;0
20800000;2378448129;193;Germany;Education;29269000;117100;0
20700000;17963202261;619;United States;Entertainment;874796000;3500000;1
20700000;5091618606;5062;United States;Howto;20012000;80000;0
20700000;5410164682;6;nan;Entertainment;125;1;0
20700000;8658941531;889;Russia;People;552266000;2200000;1
20700000;12624879732;47926;United States;Sports;73025000;292100;0
20600000;4956090094;15;Indonesia;Entertainment;85;0;0
20600000;7657171980;83;Argentina;Entertainment;193176000;772700;1
20600000;10292874715;156;Sweden;Music;81236000;324900;0
20500000;15038593883;33229;South Korea;Entertainment;158540000;634200;1
20500000;8768697257;1323;Australia;Games;26082000;104300;0
20500000;11009148579;296;United States;Entertainment;195203000;780800;1
20400000;1796227417;206;Brazil;Film;39495000;158000;0
20400000;7311322368;1006;United States;People;14646000;58600;0
20400000;13397000296;0;Afghanistan;Games;0;0;0
20400000;29406206620;51515;India;Entertainment;907534000;3600000;1
20400000;4707412332;462;Ukraine;Entertainment;28990000;116000;0
20400000;3579555124;239;India;Music;41289000;165200;0
20300000;2441288701;1245;United Kingdom;Entertainment;86457000;345800;0
20300000;11022391339;107;nan;Education;71777000;287100;0
20300000;11819051552;875;Indonesia;Education;112768000;451100;0
20200000;2951914200;460;Colombia;Entertainment;263864000;1100000;1
20200000;2764127969;693;United Arab Emirates;Entertainment;15556000;62200;0
20200000;7066711323;0;Global;Games;0;0;0
20200000;7274150246;226;India;Education;113420000;453700;0
20200000;20919403720;1935;Latvia;Comedy;1245000000;5000000;1
20200000;19694265358;761;United States;Comedy;452250000;1800000;1
20200000;6098644584;3713;Indonesia;Games;64489000;258000;0
20100000;23353115850;3774;United States;Games;221702000;886800;1
20100000;6618524158;241;United States;Music;25263000;101100;0
20100000;8920141342;4974;Brazil;Games;5420000;21700;0
20100000;10366850490;0;Global;Games;0;0;0
20100000;11317309935;1481;United States;Entertainment;14862000;59400;0
20100000;14816075927;2384;United States;Music;276751000;1100000;1
20100000;6119294270;5491;United States;Howto;105784000;423100;0
20100000;5634695322;1;United States;Film;63;0;0
20100000;17913237851;7737;United States;People;9112000;36400;0
20000000;13154314376;4339;United States;Entertainment;23206000;92800;0
20000000;559765455;1527;United States;Music;1331000;5300;0
20000000;3875172235;1527;United Kingdom;Entertainment;39228000;156900;0
20000000;6033295543;1;Canada;Entertainment;0;0;0
20000000;9715291883;1476;India;Entertainment;70278000;0;0
19900000;13917423958;416;Brazil;Music;214803000;859200;1
19800000;3234880084;1411;Germany;Tech;5650000;22600;0
19800000;5759442450;760;United States;Entertainment;6137000;24500;0
19800000;12293479945;9930;United States;News;16229;65;0
19700000;1803249241;250;United States;Comedy;3769000;15100;0
19700000;7452667615;2912;nan;Howto;29387000;117500;0
19700000;10955619815;1;United States;Games;0;0;0
19700000;11323617496;4225;United Kingdom;Entertainment;54192000;216800;0
19700000;9808676159;267;United Kingdom;Music;336;1;0
19600000;2851024430;17;United States;Games;23;0;0
19600000;13930021471;18661;United States;Entertainment;274212000;1100000;1
19600000;8779729549;1306;Turkey;Entertainment;110806000;443200;0
19600000;7906181776;214;United States;Entertainment;2304000000;9200000;1
19600000;3961318438;674;United States;Games;22292000;89200;0
19500000;5234251168;847;India;Entertainment;59841000;0;0
19400000;2255542592;4750;India;News;32111000;128400;0
19400000;1577859332;85;Mexico;People;2382000;9500;0
19400000;23038014291;125974;India;Entertainment;272917000;1100000;1
19400000;5529131886;10728;Switzerland;Sports;58863000;235500;0
19300000;264228052;335;India;Howto;37167000;148700;0
19300000;2897907132;462;nan;Entertainment;69614000;278500;0
19300000;4508184467;2175;nan;Tech;16718000;66900;0
19200000;4329121104;570;United States;Comedy;2730000;10900;0
19200000;7590582024;8285;India;Music;28678000;114700;0
19100000;13124645973;6526;United States;Comedy;17243000;69000;0
19100000;4566120190;139;United States;Comedy;30986000;123900;0
19100000;5194942269;2948;nan;Film;65920000;263700;0
19100000;6339584661;37;nan;Music;46192000;184800;0
19000000;4924054368;60;United States;Entertainment;21587000;86300;0
19000000;7229175322;903;Mexico;Howto;123338000;493400;0
19000000;8281724393;1525;India;Entertainment;105706000;422800;0
19000000;13824277846;1154;Brazil;Film;76903000;307600;0
19000000;16014044618;79;United Kingdom;Music;102410000;409600;0
19000000;15126092508;64496;South Korea;Entertainment;107989000;432000;0
18900000;2855519150;375;Russia;Entertainment;24563000;98300;0
18900000;8301731337;0;Global;Entertainment;0;0;0
18900000;9813245108;719;Mexico;Education;140398000;561600;0
18800000;3654621568;2072;United States;Education;29874000;119500;0
18800000;5257834105;312;United Kingdom;Entertainment;78158000;312600;0
18800000;7634430188;9;nan;Entertainment;7;0;0
18800000;7762077012;2;Global;Entertainment;0;0;0
18800000;9573641299;217;United States;Music;97758000;391000;0
18800000;9594188708;530;Ukraine;Entertainment;68006000;272000;0
18800000;3276891538;304;India;People;109026000;436100;0
18700000;12295637162;16;Spain;Music;102;0;0
18700000;6148303268;2;Global;People;1;0;0
18600000;6047584292;4487;India;Comedy;102431000;409700;0
18600000;7008250496;457;United States;Entertainment;43396000;173600;0
18600000;20196704276;6287;Thailand;Music;168597000;674400;1
18600000;8761255550;6289;Saudi Arabia;Games;43007000;172000;0
18500000;2908120896;1329;Brazil;Music;6148000000;0;0
18500000;3457618361;374;Russia;Games;38282000;153100;0
18500000;4558380251;712;nan;People;2835000;11300;0
18500000;8147575884;493;Russia;People;48947000;195800;0
18500000;4051072188;679;Indonesia;People;197369000;789500;1
18400000;4120324310;111;United States;Entertainment;14430000;57700;0
18400000;7038827526;6943;Spain;Games;11004000;44000;0
18400000;11544297793;3159;Thailand;Music;54133000;216500;0
18400000;11280732382;0;Global;Entertainment;0;0;0
18400000;25367126292;197;United States;Music;267126000;1100000;1
18300000;1606834186;786;Indonesia;Entertainment;17063000;68300;0
18300000;7760819588;142;United States;Entertainment;127982000;511900;0
18300000;1556003039;1324;United States;Games;140261000;561000;0
18300000;8798044678;0;Global;Entertainment;0;0;0
18200000;9937823152;442;nan;People;467848000;1900000;1
18200000;3213324455;6903;Brazil;Howto;18045000;72200;0
18100000;13378360425;420;United States;Entertainment;497044000;2000000;1
18100000;3306242674;1037;Indonesia;Entertainment;27312000;109200;0
18100000;9983065083;1521;France;Entertainment;48099000;192400;0
18100000;14857290259;707;United States;Education;180412000;721600;1
18100000;10703830496;131;South Korea;Music;64989000;260000;0
18100000;12249828886;0;Global;Entertainment;0;0;0
18000000;3980991248;2470;Brazil;Tech;54766000;219100;0
18000000;9601137077;650;Australia;Sports;391298000;1600000;1
18000000;15412333005;45;United States;Entertainment;4;0;0
18000000;10463166404;237;United States;Music;110776000;443100;0
18000000;17921124985;5692;United States;Music;257597000;1000000;1
18000000;6404852037;3566;Spain;Games;43830000;175300;0
18000000;8716982055;748;nan;Entertainment;1375000000;5500000;1
17900000;7176572299;536;United States;People;8650000;34600;0
17900000;3841205465;982;United States;Music;51687000;206700;0
17900000;5168721499;1344;Argentina;Games;27545000;110200;0
17900000;5244917119;185;United States;Entertainment;18548000;74200;0
17900000;6888074944;314;United States;Music;29182000;116700;0
17900000;9867515979;602;Vietnam;Entertainment;84467000;337900;0
17900000;9887116267;830;United States;Music;447891000;1800000;1
17900000;16174530046;1426;United States;Education;102621000;410500;0
17900000;6746269458;2;nan;People;4;0;0
17800000;11057945183;772;India;People;431390000;1700000;1
17800000;8588704539;26;United States;People;20708;83;0
17700000;19206701832;1646;South Korea;People;3404000000;13600000;1
17700000;7387621644;1888;South Korea;People;102803000;0;0
17700000;20115544708;178;United States;Music;97422000;389700;0
17700000;7912733203;512;India;People;346753000;1400000;1
17700000;3647267655;739;Indonesia;Entertainment;48174000;192700;0
17700000;4196061192;60;Global;Music;9243000;0;0
17700000;7739048000;2240;Brazil;Entertainment;35337000;141300;0
17700000;8396875537;211620;Ukraine;News;370779000;1500000;1
17700000;9059696049;1716;Malaysia;Entertainment;117727000;470900;0
17700000;17247584185;1316;Argentina;Music;640030000;2600000;1
17600000;9269174070;3151;Thailand;Games;55127000;220500;0
17600000;2274007523;233;Mexico;Comedy;27445000;109800;0
17600000;2977741577;128;China;Howto;22354000;89400;0
17600000;3752347262;0;Australia;Entertainment;0;0;0
17600000;6306204566;4702;Chile;Games;100215000;400900;0
17600000;3802280098;326;South Korea;Music;11099000;44400;0
17500000;2238134438;709;India;Entertainment;21056000;84200;0
17500000;7263619576;182742;India;News;394106000;1600000;1
17500000;7612385622;149;India;Entertainment;109847000;439400;0
17500000;16107116549;156215;United States;Games;98342000;393400;0
17400000;17763586483;4411;United States;Games;439870000;1800000;1
17400000;13043561912;118448;Thailand;News;235993000;944000;1
17400000;11144195464;2133;Iraq;Music;113003000;452000;0
17400000;16560557488;2078;nan;People;426389000;1700000;1
17300000;1026425106;180;United States;Tech;46484000;185900;0
17300000;902225615;287;India;Entertainment;837850;3400;0
17300000;11371738047;4778;India;Entertainment;331944000;1300000;1
17300000;3684816159;582;Australia;Howto;15525000;62100;0
17200000;14573155899;4685;nan;Games;15296000;61200;0
17200000;3606912471;1567;United States;Tech;52325000;209300;0
17200000;7337212581;138;Brazil;Music;72684000;290700;0
17200000;8903647480;83;Australia;People;25;0;0
17200000;11445492404;1007;Argentina;Education;83709000;334800;0
17200000;5024088947;7550;Spain;Games;15405000;61600;0
17100000;4448334716;498;Russia;Entertainment;37164000;148700;0
17100000;9710962528;148225;Indonesia;Entertainment;45811000;183200;0
17100000;2173106162;142;United States;Entertainment;1761000;7000;0
17000000;10847948832;1015;United Kingdom;Music;93768000;375100;0
17000000;1001465469;1407;India;Entertainment;7626000;30500;0
17000000;8229883114;1;Global;People;0;0;0
17000000;14543594822;97;United States;Music;49817000;199300;0
16900000;8684010451;2235;India;Music;72911000;291600;0
16900000;9111000228;1910;United States;Entertainment;10889000;43600;0
16900000;3827906874;366;United States;Entertainment;1635000;6500;0
16900000;4609753237;3900;United States;Entertainment;36357000;145400;0
16900000;9270331567;441;India;People;89782000;359100;0
16900000;9544277833;2337;United States;Entertainment;275264000;1100000;1
16900000;3523578665;4891;Brazil;Nonprofit;149543000;598200;1
16800000;2315962318;1;Global;Music;0;0;0
16800000;6518418501;0;Global;Entertainment;0;0;0
16800000;7206462713;41;Global;People;1;0;0
16800000;7195314800;502;Indonesia;Entertainment;42836000;171300;0
16800000;3693798804;1491;Brazil;Entertainment;44121000;176500;0
16700000;10393037902;3;nan;Entertainment;7;0;0
16700000;7102965621;1693;United States;Games;105114000;420500;0
16700000;8826138204;920;United States;Entertainment;45698000;182800;0
16700000;7979736581;13;United States;Music;37623;150;0
16700000;5089284369;8741;Mexico;People;16139000;64600;0
16600000;1318442641;180;Philippines;People;15079000;60300;0
16600000;2798273962;0;Mexico;Games;0;0;0
16600000;3696973456;216;Spain;Entertainment;65470;262;0
16600000;7435180827;112261;India;News;59201000;236800;0
16600000;9439857193;20102;India;Entertainment;154049000;616200;1
16600000;11946217860;8976;India;Music;89012000;356000;0
16600000;15278668857;2200;Germany;Entertainment;617257000;2500000;1
16600000;5819508534;413;United States;Entertainment;199033000;796100;1
16500000;2440934034;421;United States;Entertainment;21953000;87800;0
16500000;3037260680;438;United States;Entertainment;112986000;451900;0
16500000;7043235131;21243;India;News;131202000;524800;0
16500000;7406207930;735;United States;Entertainment;24378000;97500;0
16400000;3955426159;1091;United States;Entertainment;18028000;72100;0
16400000;4434679706;428;Thailand;Entertainment;9341000;37400;0
16400000;7135820721;14662;United States;Sports;133208000;532800;0
16400000;9463244435;56203;Thailand;Entertainment;87757000;351000;0
16400000;13478392540;1;Global;People;0;0;0
16400000;14431830557;1;Global;Entertainment;1;0;0
16400000;12844432341;23952;Thailand;Entertainment;181382000;725500;1
16300000;3527627264;54;United States;Entertainment;29735;119;0
16300000;6578828147;490;United States;Music;28787000;115100;0
16300000;6613422635;80;United States;Music;42704000;170800;0
16300000;7520242626;278;United Kingdom;Music;38604000;154400;0
16300000;10170264839;230;United Kingdom;Entertainment;85778000;343100;0
16300000;12475714382;352;United States;Music;88004000;352000;0
16300000;7141825267;1444;India;Music;151477000;605900;1
16300000;1656452554;989;United States;Games;17944000;71800;0
16300000;4768370464;652;United Kingdom;Entertainment;3079000;12300;0
16200000;10227242833;258;United States;Music;63441000;253800;0
16200000;8091706232;593;United States;Entertainment;25912000;103600;0
16200000;2990185467;1930;Brazil;People;33015000;132100;0
16200000;4076692623;1294;United Kingdom;Entertainment;27808000;111200;0
16200000;9763592867;3943;Vietnam;Film;256733000;1000000;1
16200000;14563841315;244899;Thailand;News;224756000;899000;1
16200000;20522339099;31889;Singapore;Entertainment;117209000;468800;0
16200000;14784781923;189;United States;People;37911;152;0
16200000;4488680903;10;Spain;Music;4;0;0
16200000;4813127504;2;nan;People;510;2;0
16100000;1517638132;2805;Indonesia;Games;9619000;38500;0
16100000;7399296005;510;United States;Entertainment;32011000;128000;0
16100000;2687443643;723;Brazil;Entertainment;13802000;55200;0
16100000;5055576881;1123;nan;Music;98720000;394900;0
16100000;6872702790;671;United States;Entertainment;399807000;1600000;1
16100000;7126210721;41;France;Entertainment;780;3;0
16100000;7155736006;667;Sweden;Sports;478528000;1900000;1
16100000;15812009296;4045;United States;Entertainment;267131000;1100000;1
16100000;9642146451;0;Mexico;Games;0;0;0
16000000;6543629679;453;nan;People;74062000;296200;0
16000000;3018032423;52144;India;Education;14287000;57100;0
16000000;3029872908;687;Mexico;Games;4698000;18800;0
16000000;9786595271;0;Global;Games;0;0;0
16000000;5997599089;344;Mexico;Film;112393000;449600;0
15900000;1845329502;0;Russia;Games;0;0;0
15900000;9962188084;2035;United States;Music;9915000;39700;0
15900000;2609358468;433;United States;Howto;2006000;8000;0
15900000;6534326412;4906;Argentina;Games;64085000;256300;0
15900000;9198986881;5105;Brazil;Music;136388000;545600;0
15900000;9052367553;796;United States;People;164895000;659600;1
15900000;6802382479;132;Colombia;Music;59890000;239600;0
15800000;1349288771;633;India;Education;24056000;96200;0
15800000;3392918989;20679;India;News;185969000;743900;1
15800000;4122634467;542;Indonesia;Comedy;71870000;287500;0
15800000;13116313599;10441;United States;Film;25738000;103000;0
15700000;9787697838;16874;India;Entertainment;51315000;205300;0
15700000;5914071870;79;India;Music;141842000;567400;0
15700000;6153495609;150;Singapore;People;939647;3800;0
15700000;6626563508;19703;India;Music;30744000;123000;0
15700000;5558051295;1640;India;Music;86450000;345800;0
15700000;8696631898;7090;United States;Entertainment;335111000;1300000;1
15600000;1511794214;483;Mexico;Entertainment;62551000;0;0
15600000;6862529416;6623;nan;Games;98660000;394600;0
15600000;7172386509;6542;Canada;Tech;88224000;352900;0
15600000;3869457097;2019;Brazil;Entertainment;56218000;224900;0
15600000;6165757696;4245;United States;Howto;27382000;109500;0
15500000;8984089026;598;Mexico;Education;90012000;360000;0
15500000;5070970714;0;Global;Entertainment;0;0;0
15500000;6386271870;220;Saudi Arabia;Music;90914000;363700;0
15500000;7776706184;359;India;Education;167888000;671600;1
15500000;8265129639;1021;Saudi Arabia;Film;135036000;540100;0
15500000;14619523361;325;Brazil;Music;163678000;654700;1
15500000;12880388253;0;United States;Entertainment;0;0;0
15500000;12714141740;1525;India;Entertainment;139123000;556500;0
15500000;6396049701;417;United States;Film;27375000;109500;0
15500000;4499826716;5183;Egypt;Howto;32916000;131700;0
15400000;1781226000;165;India;Comedy;27963000;111900;0
15400000;11513738907;379;United Arab Emirates;Entertainment;80172000;320700;0
15400000;1543608082;1647;United States;Games;55369000;221500;0
15400000;5469103954;1756;United States;People;1583000;6300;0
15400000;3736069980;1577;United Kingdom;Tech;167697000;670800;1
15400000;14564170905;1725;Thailand;Music;82798000;331200;0
15400000;4909687948;21;United States;Music;36790000;147200;0
15400000;4750420071;4186;Indonesia;Howto;19740000;79000;0
15300000;2656528205;10988;Spain;Sports;84867000;339500;0
15300000;10714145606;851;United States;Education;77053000;308200;0
15300000;1640078055;1397;India;Games;5920000;23700;0
15300000;9938811455;2175;Russia;People;475565000;1900000;1
