subscribers;video views;uploads;Country;Category;video_views_for_the_last_30_days;highest_monthly_earnings;Pay well
14400000;6543282459;516;United States;Entertainment;40089000;160400;0
14400000;8011977288;5628;India;Entertainment;212639000;850600;1
14400000;9023952946;978;nan;Film;62689000;250800;0
14400000;11423792969;186;United States;Music;88657000;354600;0
14400000;18515587421;101401;India;Entertainment;149799000;599200;1
14300000;4776507159;576;United States;Entertainment;413774;1700;0
14300000;6388439235;1;United States;Entertainment;0;0;0
14200000;6048517979;1823;Philippines;Music;62658000;250600;0
14200000;4040297006;1281;Brazil;Entertainment;19029000;76100;0
14200000;6973932553;60;Ukraine;Entertainment;105;0;0
14200000;1778318927;876;Netherlands;Entertainment;35934000;143700;0
14200000;2084791147;342;United Kingdom;Games;54291000;217200;0
14200000;3920559552;1300;Mexico;Games;44575000;178300;0
14200000;6554000320;433;India;Education;141688000;566800;0
14200000;7946322061;0;Global;Games;0;0;0
14200000;9964116817;8;nan;Entertainment;7208;29;0
14200000;10238593147;872;India;Comedy;367898000;1500000;1
14200000;11428794827;132398;India;Entertainment;59927000;239700;0
14200000;3317805543;1724;United States;Entertainment;12902000;51600;0
14100000;2131548711;149;India;Music;25605000;102400;0
14100000;3594936775;846;nan;Entertainment;6942000;27800;0
14100000;3920221322;65;nan;Entertainment;20351;81;0
14100000;5129529846;3;Australia;People;147;1;0
14100000;5405563355;855;United Arab Emirates;Autos;353259000;1400000;1
14100000;6036496916;2854;Indonesia;Entertainment;176062000;704200;1
14100000;6884215292;43;United States;Music;135563000;542300;0
14100000;19013942981;182;United States;Music;98834000;395300;0
14100000;3280481927;777;United Kingdom;Sports;10222000;40900;0
14100000;4627069704;1540;Thailand;Entertainment;12502000;50000;0
14000000;4959982720;5757;Brazil;People;10210000;40800;0
14000000;2214167846;431;Sweden;Entertainment;13709000;54800;0
14000000;4674164601;651;Mexico;Entertainment;26783000;107100;0
14000000;7719743112;2210;Russia;Games;150570000;602300;1
14000000;8623705301;294;Spain;Music;201659000;806600;1
